Gender,Age_Bracket,Cause,Sub-Cause,Number_of_cases
Female 29.07%,18 to 29 40.62%,Bankruptcy or Indebtedness,,135
Female 29.07%,18 to 29 40.62%,Causes Not Known,,1873
Female 29.07%,18 to 29 40.62%,Death of Dear Person,,178
Female 29.07%,18 to 29 40.62%,Drug Abuse/Alcoholic Addiction,,38
Female 29.07%,18 to 29 40.62%,Failure in Examination,,340
Female 29.07%,18 to 29 40.62%,Fall in Social Reputation,,61
Female 29.07%,18 to 29 40.62%,Family Problems 36.16%,,6536
Female 29.07%,18 to 29 40.62%,Ideological Causes/Hero Worshipping,,23
Female 29.07%,18 to 29 40.62%,Illegitimate Pregnancy,,11
Female 29.07%,18 to 29 40.62%,Illness 13.33%,AIDS/STD,8
Female 29.07%,18 to 29 40.62%,Illness 13.33%,Cancer,39
Female 29.07%,18 to 29 40.62%,Illness 13.33%,Insanity/Mental Illness,1253
Female 29.07%,18 to 29 40.62%,Illness 13.33%,Other Prolonged Illness,1092
Female 29.07%,18 to 29 40.62%,Illness 13.33%,Paralysis,18
Female 29.07%,18 to 29 40.62%,Impotency/Infertility,,86
Female 29.07%,18 to 29 40.62%,Love Affairs,,1521
Female 29.07%,18 to 29 40.62%,Marriage Related Issues 14.77%,Divorce,118
Female 29.07%,18 to 29 40.62%,Marriage Related Issues 14.77%,Dowry Related Issue,1337
Female 29.07%,18 to 29 40.62%,Marriage Related Issues 14.77%,Extra Marital Affair,335
Female 29.07%,18 to 29 40.62%,Marriage Related Issues 14.77%,Non Settlement of Marriage,544
Female 29.07%,18 to 29 40.62%,Marriage Related Issues 14.77%,Others,336
Female 29.07%,18 to 29 40.62%,Other Causes,,1640
Female 29.07%,18 to 29 40.62%,Physical Abuse (Rape etc.),,18
Female 29.07%,18 to 29 40.62%,Poverty,,90
Female 29.07%,18 to 29 40.62%,Professional/Career Problem,,107
Female 29.07%,18 to 29 40.62%,Property Dispute,,48
Female 29.07%,18 to 29 40.62%,Suspected/ Illicit Relation,,144
Female 29.07%,18 to 29 40.62%,Unemployment,,144
Female 29.07%,30 to 44 25.77%,Bankruptcy or Indebtedness,,185
Female 29.07%,30 to 44 25.77%,Causes Not Known,,1178
Female 29.07%,30 to 44 25.77%,Death of Dear Person,,114
Female 29.07%,30 to 44 25.77%,Drug Abuse/Alcoholic Addiction,,73
Female 29.07%,30 to 44 25.77%,Failure in Examination,,24
Female 29.07%,30 to 44 25.77%,Fall in Social Reputation,,36
Female 29.07%,30 to 44 25.77%,Family Problems 40.61%,,4657
Female 29.07%,30 to 44 25.77%,Ideological Causes/Hero Worshipping,,11
Female 29.07%,30 to 44 25.77%,Illegitimate Pregnancy,,9
Female 29.07%,30 to 44 25.77%,Illness 18.93%,AIDS/STD,17
Female 29.07%,30 to 44 25.77%,Illness 18.93%,Cancer,91
Female 29.07%,30 to 44 25.77%,Illness 18.93%,Insanity/Mental Illness,1136
Female 29.07%,30 to 44 25.77%,Illness 18.93%,Other Prolonged Illness,879
Female 29.07%,30 to 44 25.77%,Illness 18.93%,Paralysis,48
Female 29.07%,30 to 44 25.77%,Impotency/Infertility,,60
Female 29.07%,30 to 44 25.77%,Love Affairs,,343
Female 29.07%,30 to 44 25.77%,Marriage Related Issues 10.25%,Divorce,119
Female 29.07%,30 to 44 25.77%,Marriage Related Issues 10.25%,Dowry Related Issue,383
Female 29.07%,30 to 44 25.77%,Marriage Related Issues 10.25%,Extra Marital Affair,227
Female 29.07%,30 to 44 25.77%,Marriage Related Issues 10.25%,Non Settlement of Marriage,252
Female 29.07%,30 to 44 25.77%,Marriage Related Issues 10.25%,Others,195
Female 29.07%,30 to 44 25.77%,Other Causes,,953
Female 29.07%,30 to 44 25.77%,Physical Abuse (Rape etc.),,9
Female 29.07%,30 to 44 25.77%,Poverty,,102
Female 29.07%,30 to 44 25.77%,Professional/Career Problem,,68
Female 29.07%,30 to 44 25.77%,Property Dispute,,68
Female 29.07%,30 to 44 25.77%,Suspected/ Illicit Relation,,113
Female 29.07%,30 to 44 25.77%,Unemployment,,117
Female 29.07%,45 to 59 12.71%,Bankruptcy or Indebtedness,,112
Female 29.07%,45 to 59 12.71%,Causes Not Known,,567
Female 29.07%,45 to 59 12.71%,Death of Dear Person,,113
Female 29.07%,45 to 59 12.71%,Drug Abuse/Alcoholic Addiction,,62
Female 29.07%,45 to 59 12.71%,Failure in Examination,,0
Female 29.07%,45 to 59 12.71%,Fall in Social Reputation,,20
Female 29.07%,45 to 59 12.71%,Family Problems 35.67%,,2017
Female 29.07%,45 to 59 12.71%,Ideological Causes/Hero Worshipping,,4
Female 29.07%,45 to 59 12.71%,Illegitimate Pregnancy,,6
Female 29.07%,45 to 59 12.71%,Illness 32.96%,AIDS/STD,14
Female 29.07%,45 to 59 12.71%,Illness 32.96%,Cancer,109
Female 29.07%,45 to 59 12.71%,Illness 32.96%,Insanity/Mental Illness,818
Female 29.07%,45 to 59 12.71%,Illness 32.96%,Other Prolonged Illness,846
Female 29.07%,45 to 59 12.71%,Illness 32.96%,Paralysis,77
Female 29.07%,45 to 59 12.71%,Impotency/Infertility,,14
Female 29.07%,45 to 59 12.71%,Love Affairs,,26
Female 29.07%,45 to 59 12.71%,Marriage Related Issues,Divorce,20
Female 29.07%,45 to 59 12.71%,Marriage Related Issues,Dowry Related Issue,26
Female 29.07%,45 to 59 12.71%,Marriage Related Issues,Extra Marital Affair,57
Female 29.07%,45 to 59 12.71%,Marriage Related Issues,Non Settlement of Marriage,21
Female 29.07%,45 to 59 12.71%,Marriage Related Issues,Others,65
Female 29.07%,45 to 59 12.71%,Other Causes,,492
Female 29.07%,45 to 59 12.71%,Physical Abuse (Rape etc.),,2
